Year,deaths_temperature,deaths_storm,deaths_landslide,deaths_earthquake,deaths_flood,deaths_drought
1900,0,1801.4,5.3,15314.8,62.8,126100
1910,0,5994.8,11.8,7031.1,10137.9,8500
1920,0,11998.8,42.8,38998.6,428.2,472400
1930,169.3,9383.5,103.3,16666.4,436146.5,0
1940,0,12726,1752.5,16772.8,10103.2,345000
1950,149.6,3125.7,215,2174.8,206169.8,0
1960,112.7,13358.2,506.8,5211.9,3239.4,151065
1970,155.3,35720.3,742.2,43188.1,7066.1,11908.1
1980,533.5,4606.7,624.9,5837.2,5100.2,55726.8
1990,932.3,21114.8,852.9,10347.8,9548.2,313.4
2000,9167.9,17213,771.7,45363.5,5394.6,112.6
2010,7424.4,2763.2,1010.9,26748,5067.3,2012
2020,2163.2,2053,837,1568.4,4391,26